country;density;year
VCT;56,873;1961
SDN;47,213;1961
SUR;58,247;1961
SWZ;42,63;1961
SWE;71,65;1961
CHE;68,84;1961
SYR;51,257;1961
TJK;54,207;1961
TZA;42,259;1961
THA;52,962;1961
TLS;33,68;1961
TGO;39,976;1961
TON;61,361;1961
TTO;61,604;1961
TUN;41,686;1961
TUR;43,244;1961
TKM;51,379;1961
UGA;43,021;1961
UKR;66,078;1961
ARE;50,776;1961
GBR;68;1961
USA;67,1;1961
URY;65,064;1961
UZB;55,486;1961
VUT;45,672;1961
VEN;58,225;1961
VNM;56,212;1961
VIR;64,967;1961
YEM;33,343;1961
ZMB;44,008;1961
ZWE;50,353;1961
AFG;32,466;1962
ALB;63,117;1962
DZA;46,325;1962
AGO;32,428;1962
ATG;60,3;1962
ARG;62,477;1962
ARM;63,664;1962
ABW;64,747;1962
AUS;67,84;1962
AUT;66,29;1962
AZE;57,94;1962
BHS;61,349;1962
BHR;51,891;1962
BGD;46,782;1962
BRB;59,523;1962
BLR;65,909;1962
BEL;67,4;1962
BLZ;59,808;1962
BEN;37,642;1962
BTN;34,735;1962
BOL;41,479;1962
BIH;59,879;1962
BWA;49,496;1962
BRA;53,313;1962
BRN;62,212;1962
BGR;67,77;1962
BFA;34,361;1962
BDI;40,316;1962
CPV;48,123;1962
KHM;39,835;1962
CMR;41,124;1962
CAN;68,45;1962
CAF;35,75;1962
TCD;36,655;1962
CHI;67,934;1962
CHL;55,294;1962
CHN;43,473;1962
COL;56,068;1962
COM;40,768;1962
COD;40,072;1962
COG;48,542;1962
CRI;60,615;1962
CIV;37,207;1962
HRV;62,678;1962
CUB;63,527;1962
CYP;68,281;1962
CZE;66,86;1962
DNK;70,31;1962
DJI;43,592;1962
DOM;51,809;1962
ECU;53,109;1962
EGY;47,787;1962
SLV;49,006;1962
GNQ;35,849;1962
ERI;38,213;1962
EST;64,802;1962
ETH;38,225;1962
FJI;54,896;1962
FIN;65,09;1962
FRA;66,9;1962
PYF;55,637;1962
GAB;38,834;1962
GMB;31,465;1962
GEO;60,488;1962
DEU;67,053;1962
GHA;46,324;1962
GRC;66,603;1962
GRD;58,833;1962
GUM;60,107;1962
GTM;47,037;1962
